squad,player,CalcedPosition
Alavés,Adrián Marín,CB
Alavés,Aleix Vidal,AM
Alavés,Borja Sainz,WF
Alavés,Joselu,CF
Alavés,Lisandro Magallán,CB
Alavés,Ljubomir Fejsa,DM
Alavés,Lucas Pérez,CF
Alavés,Luis Rioja,DM
Alavés,Manu García,DM
Alavés,Martin Agirregabiria,FB
Alavés,Oliver Burke,WF
Alavés,Pere Pons,DM
Alavés,Rodrigo Ely,CB
Alavés,Rubén Duarte,FB
Alavés,Tomás Pina Isla,DM
Alavés,Víctor Camarasa,DM
Alavés,Víctor Laguardia,CB
Alavés,Wakaso,DM
Alavés,Ximo Navarro,CB
Alavés,Édgar Méndez,DM
Amiens,Alexis Blin,DM
Amiens,Arturo Calabresi,FB
Amiens,Aurélien Chedjou,CB
Amiens,Bakaye Dibassy,CB
Amiens,Bongani Zungu,DM
Amiens,Chadrac Akolo,WF
Amiens,Christophe Jallet,DM
Amiens,Eddy Gnahoré,DM
Amiens,Fousseni Diabaté,DM
Amiens,Gaël Kakuta,AM
Amiens,Haitam Aleesami,DM
Amiens,Jordan Lefort,CB
Amiens,Juan Ferney Otero,DM
Amiens,Moussa Konaté,CF
Amiens,Sehrou Guirassy,CF
Amiens,Stiven Mendoza,WF
Amiens,Thomas Monconduit,DM
Angers,Abdoulaye Bamba,FB
Angers,Angelo Fulgini,WF
Angers,Antonin Bobichon,CF
Angers,Baptiste Santamaria,DM
Angers,Casimir Ninga,WF
Angers,Ismaël Traoré,CB
Angers,Mateo Pavlović,CB
Angers,Mathias Pereira Lage,AM
Angers,Pierrick Capelle,DM
Angers,Rachid Alioui,CF
Angers,Rayan Aït Nouri,FB
Angers,Romain Thomas,CB
Angers,Sada Thioub,DM
Angers,Stéphane Bahoken,CF
Angers,Thomas Mangani,DM
Angers,Vincent Manceau,FB
Arsenal,Ainsley Maitland-Niles,FB
Arsenal,Alexandre Lacazette,CF
Arsenal,Bukayo Saka,FB
Arsenal,Calum Chambers,CB
Arsenal,Dani Ceballos,AM
Arsenal,David Luiz,CB
Arsenal,Eddie Nketiah,WF
Arsenal,Granit Xhaka,DM
Arsenal,Héctor Bellerín,FB
Arsenal,Joe Willock,WF
Arsenal,Kieran Tierney,FB
Arsenal,Lucas Torreira,DM
Arsenal,Martinelli,WF
Arsenal,Mattéo Guendouzi,DM
Arsenal,Mesut Özil,AM
Arsenal,Nicolas Pépé,WF
Arsenal,Pierre-Emerick Aubameyang,CF
Arsenal,Reiss Nelson,WF
Arsenal,Rob Holding,FB
Arsenal,Sead Kolašinac,FB
Arsenal,Shkodran Mustafi,CB
Arsenal,Sokratis Papastathopoulos,CB
Aston Villa,Ahmed Elmohamady,FB
Aston Villa,Anwar El Ghazi,WF
Aston Villa,Björn Engels,CB
Aston Villa,Conor Hourihane,FB
Aston Villa,Douglas Luiz,DM
Aston Villa,Ezri Konsa,DM
Aston Villa,Frederic Guilbert,FB
Aston Villa,Jack Grealish,WF
Aston Villa,John McGinn,CF
Aston Villa,Keinan Davis,CF
Aston Villa,Kortney Hause,CB
Aston Villa,Marvelous Nakamba,DM
Aston Villa,Matt Targett,FB
Aston Villa,Mbwana Samatta,CF
Aston Villa,Neil Taylor,CB
Aston Villa,Trézéguet,CF
